DATE	TIME	Open	High	Low	Close	TICKVOL	VOL	SPREAD
2019.12.12	10:00:00	111635	111745	111620	111645	28547	124465	5
2019.12.12	10:05:00	111645	111690	111630	111650	10307	48632	5
2019.12.12	10:10:00	111645	111700	111630	111685	12272	58863	5
2019.12.12	10:15:00	111690	111745	111655	111655	19474	83271	5
2019.12.12	10:20:00	111655	111680	111645	111665	6861	31601	5
2019.12.12	10:25:00	111665	111690	111555	111590	20472	92817	5
2019.12.12	10:30:00	111590	111710	111530	111640	37445	144904	5
2019.12.12	10:35:00	111645	111675	111585	111610	16580	70244	5
2019.12.12	10:40:00	111615	111655	111555	111620	17699	83477	5
2019.12.12	10:45:00	111620	111640	111590	111605	8342	40020	5
2019.12.12	10:50:00	111600	111660	111600	111630	10424	52563	5
2019.12.12	10:55:00	111635	111685	111605	111610	13612	66066	5
2019.12.12	11:00:00	111615	111645	111565	111630	15241	69753	5
2019.12.12	11:05:00	111630	111645	111590	111590	7613	39347	5
2019.12.12	11:10:00	111590	111630	111585	111610	6672	32850	5
2019.12.12	11:15:00	111605	111630	111570	111585	7229	35541	5
2019.12.12	11:20:00	111590	111620	111570	111605	7154	35164	5
2019.12.12	11:25:00	111605	111700	111600	111675	15327	71748	5
2019.12.12	11:30:00	111670	111855	111620	111835	51290	246957	5
2019.12.12	11:35:00	111835	112130	111800	112085	56992	314247	5
2019.12.12	11:40:00	112085	112105	111980	112030	29066	161709	5
2019.12.12	11:45:00	112030	112055	111965	111990	15893	93907	5
2019.12.12	11:50:00	111990	112025	111975	111995	10241	64265	5
2019.12.12	11:55:00	111995	112065	111980	112050	13711	72121	5
2019.12.12	12:00:00	112045	112130	111955	111995	33473	193126	5
2019.12.12	12:05:00	111995	112100	111975	112025	22668	144926	5
2019.12.12	12:10:00	112025	112185	112020	112155	21907	125071	5
2019.12.12	12:15:00	112155	112230	112125	112200	21208	115639	5
2019.12.12	12:20:00	112200	112245	112150	112180	16603	90820	5
2019.12.12	12:25:00	112185	112185	112150	112170	7348	39573	5
2019.12.12	12:30:00	112170	112200	112115	112135	12070	62199	5
2019.12.12	12:35:00	112135	112155	112115	112125	7199	42396	5
2019.12.12	12:40:00	112120	112140	112070	112075	11357	58657	5
2019.12.12	12:45:00	112075	112095	112030	112065	12547	70180	5
2019.12.12	12:50:00	112060	112120	112060	112100	10395	56426	5
2019.12.12	12:55:00	112105	112135	112070	112090	10659	57088	5
2019.12.12	13:00:00	112095	112135	112080	112130	8823	48610	5
2019.12.12	13:05:00	112130	112170	112115	112120	12577	68000	5
2019.12.12	13:10:00	112125	112145	112070	112100	11256	56589	5
2019.12.12	13:15:00	112100	112130	112085	112110	5455	27545	5
2019.12.12	13:20:00	112115	112125	112075	112115	7064	41812	5
2019.12.12	13:25:00	112120	112135	112080	112095	6189	32733	5
2019.12.12	13:30:00	112095	112125	112085	112100	5193	27606	5
2019.12.12	13:35:00	112095	112165	112085	112135	10634	54419	5
2019.12.12	13:40:00	112130	112135	112085	112105	8258	42951	5
2019.12.12	13:45:00	112100	112135	112085	112100	6923	40494	5
2019.12.12	13:50:00	112100	112130	112035	112050	13551	67740	5
2019.12.12	13:55:00	112045	112080	111965	112070	22485	115958	5
2019.12.12	14:00:00	112070	112080	112005	112020	8485	44427	5
2019.12.12	14:05:00	112020	112075	112010	112060	7987	42549	5
2019.12.12	14:10:00	112060	112070	112015	112040	5479	30084	5
2019.12.12	14:15:00	112040	112065	112020	112040	5924	38509	5
2019.12.12	14:20:00	112040	112045	111980	111990	9372	49595	5
2019.12.12	14:25:00	111995	112005	111970	111990	8652	44742	5
2019.12.12	14:30:00	111990	112055	111980	112015	14442	74943	5
2019.12.12	14:35:00	112015	112035	112000	112015	4582	23671	5
2019.12.12	14:40:00	112010	112070	112005	112045	6958	35200	5
2019.12.12	14:45:00	112050	112065	112020	112030	6536	33071	5
2019.12.12	14:50:00	112025	112045	112005	112015	5544	31985	5
2019.12.12	14:55:00	112015	112025	111990	112005	4617	23640	5
2019.12.12	15:00:00	112000	112120	112000	112095	17223	84324	5
2019.12.12	15:05:00	112095	112140	112075	112095	12586	57938	5
2019.12.12	15:10:00	112090	112115	112080	112100	5811	28566	5
2019.12.12	15:15:00	112095	112130	112090	112115	5789	27809	5
2019.12.12	15:20:00	112120	112125	112080	112100	5822	31799	5
2019.12.12	15:25:00	112105	112110	112080	112095	4081	21357	5
2019.12.12	15:30:00	112100	112110	112070	112080	5613	26779	5
2019.12.12	15:35:00	112085	112090	112050	112055	7288	37549	5
2019.12.12	15:40:00	112060	112165	112040	112135	17526	84585	5
2019.12.12	15:45:00	112130	112140	112100	112105	6624	33486	5
2019.12.12	15:50:00	112105	112140	112100	112135	5781	27982	5
2019.12.12	15:55:00	112135	112200	112120	112185	13217	64480	5
2019.12.12	16:00:00	112185	112230	112140	112150	17000	83772	5
2019.12.12	16:05:00	112145	112180	112140	112175	6477	31656	5
2019.12.12	16:10:00	112180	112195	112100	112120	12782	65129	5
2019.12.12	16:15:00	112125	112175	112120	112150	7651	41358	5
2019.12.12	16:20:00	112150	112180	112140	112150	5720	29522	5
2019.12.12	16:25:00	112145	112170	112110	112145	6824	35865	5
2019.12.12	16:30:00	112150	112530	112115	112295	48827	275522	5
2019.12.12	16:35:00	112290	112325	112185	112265	17341	106917	5
2019.12.12	16:40:00	112260	112335	112240	112295	10773	62099	5
2019.12.12	16:45:00	112300	112315	112270	112285	5726	30611	5
2019.12.12	16:50:00	112285	112340	112250	112330	8173	44540	5
2019.12.12	16:55:00	112330	112385	112325	112375	10874	59994	5
2019.12.12	17:00:00	112375	112420	112355	112395	10808	54980	5
2019.12.12	17:05:00	112400	112435	112380	112405	6821	36559	5
